Treatment, TP, , FP, , FN, , TN, , Accuracy, , Recall, , Fallout, , Precision, , F, , G,,
, med, irq, med, irq, med, irq, med, irq, med, irq, med, irq, med, irq, med, irq, med, irq, med, irq
RF, 95.0, 1.0, 334.5, 3.0, 15.0, 1.0, 278.5, 3, 52.0, 1, 86.0, 1, 54.5, 1, 22.0, 0, 35.0, 0, 59.5, 1
RF(SMOTE), 80.0, 2.0, 229.5, 9.0, 30.0, 2.0, 383.5, 9, 64.0, 1, 73.0, 2, 37.5, 2, 26.0, 1, 39.0, 1, 68.0, 2
