Treatment, TP, , FP, , FN, , TN, , Accuracy, , Recall, , Fallout, , Precision, , F, , G,,
, med, irq, med, irq, med, irq, med, irq, med, irq, med, irq, med, irq, med, irq, med, irq, med, irq
RF, 4.0, 1.0, 22.0, 1.0, 12.0, 1.0, 203.0, 1, 86.0, 1, 25.0, 6, 10.0, 0, 15.0, 2, 19.0, 3, 39.0, 7
RF(SMOTE), 7.0, 0.0, 48.0, 0.0, 9.0, 0.0, 177.0, 0, 76.0, 0, 44.0, 0, 21.0, 0, 13.0, 0, 20.0, 0, 56.0, 0
RF(Tune), 3.5, 1.0, 21.0, 7.0, 12.5, 1.0, 204.0, 7, 85.5, 3, 22.0, 6, 9.0, 3, 14.0, 5, 17.5, 5, 35.0, 8
RF(SMOTE, Tune), 9.0, 1.0, 56.5, 7.0, 7.0, 1.0, 168.5, 7, 73.5, 3, 56.0, 6, 25.0, 3, 12.5, 3, 20.5, 4, 62.5, 6
CART, 7.0, 0.0, 47.0, 0.0, 9.0, 0.0, 178.0, 0, 77.0, 0, 44.0, 0, 21.0, 0, 13.0, 0, 20.0, 0, 56.0, 0
CART(SMOTE), 4.0, 0.0, 55.0, 0.0, 12.0, 0.0, 170.0, 0, 72.0, 0, 25.0, 0, 24.0, 0, 7.0, 0, 11.0, 0, 38.0, 0
CART(Tune), 4.0, 0.0, 36.0, 0.0, 12.0, 0.0, 189.0, 0, 80.0, 0, 25.0, 0, 16.0, 0, 10.0, 0, 14.0, 0, 39.0, 0
CART(SMOTE, Tune), 9.0, 0.0, 84.0, 0.0, 7.0, 0.0, 141.0, 0, 62.0, 0, 56.0, 0, 37.0, 0, 10.0, 0, 17.0, 0, 59.0, 0
