Treatment, TP, , FP, , FN, , TN, , Accuracy, , Recall, , Fallout, , Precision, , F, , G,,
, med, irq, med, irq, med, irq, med, irq, med, irq, med, irq, med, irq, med, irq, med, irq, med, irq
RF, 15.0, 1.0, 35.0, 2.0, 17.0, 1.0, 226.0, 2, 82.5, 1, 47.0, 3, 13.0, 1, 30.5, 1, 37.0, 3, 61.0, 2
RF(SMOTE), 22.0, 0.0, 63.0, 0.0, 10.0, 0.0, 198.0, 0, 75.0, 0, 69.0, 0, 24.0, 0, 26.0, 0, 38.0, 0, 72.0, 0
RF(Tune), 16.0, 1.0, 24.5, 6.0, 16.0, 1.0, 236.5, 6, 86.0, 2, 50.0, 3, 9.5, 3, 38.5, 6, 43.5, 6, 64.0, 3
RF(SMOTE, Tune), 22.0, 0.0, 73.0, 1.0, 10.0, 0.0, 188.0, 1, 72.0, 0, 69.0, 0, 28.0, 0, 23.0, 0, 35.0, 0, 70.0, 1
CART, 16.0, 0.0, 40.0, 0.0, 16.0, 0.0, 221.0, 0, 81.0, 0, 50.0, 0, 15.0, 0, 29.0, 0, 36.0, 0, 63.0, 0
CART(SMOTE), 17.0, 2.0, 88.0, 7.0, 15.0, 2.0, 173.0, 7, 65.0, 2, 53.0, 6, 34.0, 3, 16.0, 0, 25.0, 2, 59.0, 3
CART(Tune), 12.0, 0.0, 37.0, 0.0, 20.0, 0.0, 224.0, 0, 81.0, 0, 38.0, 0, 14.0, 0, 24.0, 0, 30.0, 0, 52.0, 0
CART(SMOTE, Tune), 26.0, 9.0, 78.0, 8.0, 6.0, 9.0, 183.0, 8, 71.0, 0, 81.0, 28, 30.0, 3, 25.0, 5, 38.0, 9, 75.0, 13
