Treatment, TP, , FP, , FN, , TN, , Accuracy, , Recall, , Fallout, , Precision, , F, , G,,
, med, irq, med, irq, med, irq, med, irq, med, irq, med, irq, med, irq, med, irq, med, irq, med, irq
RF, 5.0, 1.0, 22.0, 1.0, 11.0, 1.0, 203.0, 1, 86.0, 0, 31.0, 6, 10.0, 0, 17.0, 4, 22.0, 4, 46.0, 7
RF(SMOTE), 7.0, 0.0, 48.0, 0.0, 9.0, 0.0, 177.0, 0, 76.0, 0, 44.0, 0, 21.0, 0, 13.0, 0, 20.0, 0, 56.0, 0
RF(Tune), 1.0, 1.0, 6.5, 7.0, 15.0, 1.0, 218.5, 7, 91.5, 3, 6.0, 7, 3.0, 3, 22.5, 10, 10.5, 12, 12.0, 10
RF(SMOTE, Tune), 10.0, 1.0, 71.5, 6.0, 6.0, 1.0, 153.5, 6, 68.0, 2, 63.0, 6, 32.0, 3, 12.5, 1, 21.0, 2, 65.5, 4
CART, 7.0, 0.0, 47.0, 0.0, 9.0, 0.0, 178.0, 0, 77.0, 0, 44.0, 0, 21.0, 0, 13.0, 0, 20.0, 0, 56.0, 0
CART(SMOTE), 4.0, 3.0, 55.0, 0.0, 12.0, 3.0, 170.0, 0, 72.0, 1, 25.0, 19, 24.0, 0, 7.0, 5, 11.0, 8, 38.0, 26
CART(Tune), 4.0, 0.0, 25.0, 0.0, 12.0, 0.0, 200.0, 0, 85.0, 0, 25.0, 0, 11.0, 0, 14.0, 0, 18.0, 0, 39.0, 0
CART(SMOTE, Tune), 6.0, 0.0, 60.5, 7.0, 10.0, 0.0, 164.5, 7, 70.5, 3, 38.0, 0, 26.5, 3, 9.5, 1, 14.5, 1, 49.5, 1
