Treatment, TP, , FP, , FN, , TN, , Accuracy, , Recall, , Fallout, , Precision, , F, , G,,
, med, irq, med, irq, med, irq, med, irq, med, irq, med, irq, med, irq, med, irq, med, irq, med, irq
RF, 152.0, 14.0, 42.5, 5.0, 129.0, 14.0, 118.5, 5, 61.5, 2, 54.0, 5, 26.5, 3, 78.5, 3, 64.0, 3, 62.5, 2
RF(SMOTE), 151.5, 14.0, 51.0, 5.0, 129.5, 14.0, 110.0, 5, 59.5, 5, 54.0, 5, 32.0, 4, 74.5, 3, 63.0, 4, 60.5, 5
RF(Tune), 150.0, 27.0, 41.0, 18.0, 131.0, 27.0, 120.0, 18, 61.5, 6, 53.5, 10, 25.5, 11, 78.0, 5, 64.0, 6, 62.5, 6
RF(SMOTE, Tune), 150.5, 35.0, 47.5, 10.0, 130.5, 35.0, 113.5, 10, 60.5, 7, 53.5, 13, 29.5, 7, 77.5, 4, 63.0, 8, 60.5, 7
CART, 93.0, 0.0, 37.0, 0.0, 188.0, 0.0, 124.0, 0, 49.0, 0, 33.0, 0, 23.0, 0, 72.0, 0, 45.0, 0, 46.0, 0
CART(SMOTE), 151.0, 60.0, 71.5, 8.0, 130.0, 60.0, 89.5, 8, 54.0, 13, 53.5, 21, 44.5, 5, 67.5, 7, 60.0, 16, 53.0, 10
CART(Tune), 162.0, 0.0, 51.0, 0.0, 119.0, 0.0, 110.0, 0, 62.0, 0, 58.0, 0, 32.0, 0, 76.0, 0, 66.0, 0, 63.0, 0
CART(SMOTE, Tune), 157.5, 21.0, 60.0, 6.0, 123.5, 21.0, 101.0, 6, 57.0, 7, 56.5, 8, 37.0, 3, 71.5, 5, 62.5, 7, 57.5, 7
