Treatment, TP, , FP, , FN, , TN, , Accuracy, , Recall, , Fallout, , Precision, , F, , G,,
, med, irq, med, irq, med, irq, med, irq, med, irq, med, irq, med, irq, med, irq, med, irq, med, irq
RF, 16.0, 1.0, 35.0, 2.0, 16.0, 1.0, 226.0, 2, 82.0, 1, 50.0, 3, 13.0, 1, 30.5, 2, 38.0, 2, 63.0, 2
RF(SMOTE), 22.0, 0.0, 63.0, 6.0, 10.0, 0.0, 198.0, 6, 75.0, 2, 69.0, 0, 24.0, 2, 26.0, 2, 38.0, 2, 72.0, 1
RF(Tune), 17.0, 2.0, 29.0, 3.0, 15.0, 2.0, 232.0, 3, 85.0, 0, 53.0, 6, 11.0, 1, 37.5, 2, 44.0, 3, 67.0, 5
RF(SMOTE, Tune), 21.5, 1.0, 74.5, 9.0, 10.5, 1.0, 186.5, 9, 71.5, 4, 67.5, 3, 28.5, 4, 22.5, 2, 34.5, 2, 70.0, 2
CART, 16.0, 0.0, 40.0, 0.0, 16.0, 0.0, 221.0, 0, 81.0, 0, 50.0, 0, 15.0, 0, 29.0, 0, 36.0, 0, 63.0, 0
CART(SMOTE), 17.0, 0.0, 88.0, 0.0, 15.0, 0.0, 173.0, 0, 65.0, 0, 53.0, 0, 34.0, 0, 16.0, 0, 25.0, 0, 59.0, 0
CART(Tune), 20.0, 0.0, 49.0, 0.0, 12.0, 0.0, 212.0, 0, 79.0, 0, 63.0, 0, 19.0, 0, 29.0, 0, 40.0, 0, 71.0, 0
CART(SMOTE, Tune), 23.0, 0.0, 99.0, 0.0, 9.0, 0.0, 162.0, 0, 63.0, 0, 72.0, 0, 38.0, 0, 19.0, 0, 30.0, 0, 67.0, 0
