Treatment, TP, , FP, , FN, , TN, , Accuracy, , Recall, , Fallout, , Precision, , F, , G,,
, med, irq, med, irq, med, irq, med, irq, med, irq, med, irq, med, irq, med, irq, med, irq, med, irq
RF, 129.5, 3.0, 59.5, 2.0, 73.5, 3.0, 77.5, 2, 61.0, 0, 64.0, 1, 43.5, 2, 68.5, 1, 66.0, 0, 60.0, 1
RF(SMOTE), 110.0, 6.0, 49.0, 5.0, 93.0, 6.0, 88.0, 5, 59.0, 1, 54.0, 3, 36.0, 3, 69.0, 2, 61.5, 2, 59.0, 2
RF(Tune), 132.0, 3.0, 47.5, 3.0, 71.0, 3.0, 89.5, 3, 65.5, 2, 65.0, 1, 34.5, 2, 73.5, 2, 69.0, 1, 65.5, 2
RF(SMOTE, Tune), 113.5, 10.0, 46.5, 10.0, 89.5, 10.0, 90.5, 10, 60.0, 2, 56.0, 5, 34.0, 8, 70.5, 5, 62.5, 3, 60.5, 3
CART, 113.0, 0.0, 54.0, 0.0, 90.0, 0.0, 83.0, 0, 58.0, 0, 56.0, 0, 39.0, 0, 68.0, 0, 61.0, 0, 58.0, 0
CART(SMOTE), 110.0, 2.0, 54.5, 1.0, 93.0, 2.0, 82.5, 1, 57.0, 1, 54.5, 1, 39.5, 1, 67.0, 1, 60.0, 1, 57.0, 0
CART(Tune), 146.0, 0.0, 80.0, 0.0, 57.0, 0.0, 57.0, 0, 60.0, 0, 72.0, 0, 58.0, 0, 65.0, 0, 68.0, 0, 53.0, 0
CART(SMOTE, Tune), 97.0, 28.0, 41.0, 22.0, 106.0, 28.0, 96.0, 22, 57.0, 2, 48.0, 14, 30.0, 16, 70.0, 5, 57.0, 8, 57.0, 5
