Treatment, TP, , FP, , FN, , TN, , Accuracy, , Recall, , Fallout, , Precision, , F, , G,,
, med, irq, med, irq, med, irq, med, irq, med, irq, med, irq, med, irq, med, irq, med, irq, med, irq
RF, 95.0, 1.0, 332.5, 4.0, 15.0, 1.0, 280.5, 4, 52.0, 1, 86.0, 1, 54.0, 1, 22.0, 0, 35.0, 0, 60.0, 1
RF(SMOTE), 81.5, 8.0, 217.5, 26.0, 28.5, 8.0, 395.5, 26, 65.5, 3, 74.0, 7, 35.5, 4, 27.0, 1, 39.5, 1, 68.5, 1
RF(Tune), 101.5, 3.0, 384.5, 7.0, 8.5, 3.0, 228.5, 7, 46.0, 1, 92.5, 3, 63.0, 1, 21.0, 0, 34.0, 1, 53.0, 1
RF(SMOTE, Tune), 81.0, 6.0, 225.0, 22.0, 29.0, 6.0, 388.0, 22, 65.0, 3, 74.0, 5, 36.5, 4, 27.0, 3, 39.5, 2, 68.5, 2
CART, 77.0, 0.0, 237.0, 0.0, 33.0, 0.0, 376.0, 0, 63.0, 0, 70.0, 0, 39.0, 0, 25.0, 0, 36.0, 0, 65.0, 0
CART(SMOTE), 71.5, 8.0, 262.0, 33.0, 38.5, 8.0, 351.0, 33, 59.0, 4, 65.0, 7, 43.0, 6, 22.0, 2, 33.0, 3, 61.5, 4
CART(Tune), 89.0, 0.0, 346.0, 0.0, 21.0, 0.0, 267.0, 0, 49.0, 0, 81.0, 0, 56.0, 0, 20.0, 0, 33.0, 0, 57.0, 0
CART(SMOTE, Tune), 78.5, 16.0, 264.0, 55.0, 31.5, 16.0, 349.0, 55, 59.0, 6, 71.5, 15, 43.0, 9, 23.0, 4, 34.0, 6, 62.0, 6
